RSOname,department,expTimeComm,taggedPref
Illini Motorcycle Club,Miscellaneous,1-3 hours,General
Illini N Motion Dance Team,Fine Arts,3-5 hours,Arts
Illini Painting Club,Media,1-3 hours,Media
Illini Pride Student Athletic Board,Miscellaneous,10+ hours,General
Illini Pullers,Agricultural Sciences,5-10 hours,General
Illini Raas,Miscellaneous,1-3 hours,Cultural
Illini Railroad Club,Miscellaneous,5-10 hours,Social
Illini Rhythm Syndicate,Miscellaneous,3-5 hours,General
Illini Ridgebacks Quadball Team,Miscellaneous,3-5 hours,General
Illini RoboMaster,Computer Science,1-3 hours,Tech
Illini Rotaract Club,Miscellaneous,3-5 hours,Service
Illini Run Club,Miscellaneous,5-10 hours,General
Illini Saxophone Club,Miscellaneous,3-5 hours,Service
Illini Service Dogs,Miscellaneous,10+ hours,Service
Illini Sheltering Hands Society,Kinesiology,10+ hours,Health
Illini Solar Car,Environmental Science,10+ hours,General
Illini Speech and Debate,Education,5-10 hours,General
Illini Speed,Miscellaneous,10+ hours,General
Illini Student Musicals,Fine Arts,3-5 hours,Arts
Illini Students for Reproductive Justice,Miscellaneous,3-5 hours,General
Illini Students Supporting Israel,Miscellaneous,5-10 hours,Cultural
Illini Swim Club,Miscellaneous,10+ hours,General
Illini Table Tennis Club,Miscellaneous,1-3 hours,General
Illini Tang Soo Do,Miscellaneous,5-10 hours,General
Illini Thaakat Foundation,Miscellaneous,1-3 hours,Service
Illini Trap and Skeet Club,Miscellaneous,5-10 hours,General
Illini Urban Farmers,Agricultural Sciences,3-5 hours,General
Illini Veterans,Miscellaneous,1-3 hours,Cultural
Illini VEX Robotics,Computer Science,10+ hours,Tech
Illini Waterski and Wakeboard Club,Miscellaneous,10+ hours,General
Illini Wildlife and Conservation Club,Environmental Science,10+ hours,General
"Illini Women in Economics, Econometrics and Statistics",Business,10+ hours,Professional
Illini Women’s Golf Club,Miscellaneous,10+ hours,General
Illini Women’s Hockey Club,Miscellaneous,3-5 hours,General
Illini Women’s Soccer Club,Miscellaneous,10+ hours,General
Illini Women’s Water Polo,Miscellaneous,3-5 hours,General
Illini World Taekwondo,Miscellaneous,1-3 hours,General
Illini Wushu Club,Miscellaneous,5-10 hours,General
IlliniFurs,Miscellaneous,3-5 hours,Cultural
IlliniReads,Miscellaneous,3-5 hours,Social
IlliniThon,Miscellaneous,5-10 hours,Service
Illinois Ballet Company,Fine Arts,10+ hours,Arts
Illinois Biodiesel Initiative,Environmental Science,10+ hours,General
Illinois Biophysics,Biology,3-5 hours,Science
Illinois Club Baseball,Miscellaneous,3-5 hours,General
Illinois Club Dodgeball,Miscellaneous,10+ hours,General
Illinois Club Golf Team,Miscellaneous,5-10 hours,General
Illinois Consulting Group,Business,3-5 hours,Professional
Illinois Data Science Club,Information Sciences,1-3 hours,Science
Illinois Design Challenge,Computer Science,5-10 hours,Tech
Illinois DII Club Baseball,Miscellaneous,1-3 hours,General
Illinois Economic Insights,Business,5-10 hours,Professional
Illinois Economics Consulting Club [ IEC ],Business,1-3 hours,Professional
Illinois Education Association - Aspiring Educators,Miscellaneous,1-3 hours,General
Illinois Golf League,Miscellaneous,3-5 hours,General
Illinois Healthcare Mentorship Group ( IHMG ),Kinesiology,5-10 hours,Health
Illinois Jurisprudence Society,Law,10+ hours,General
Illinois Leadership Center ( ILC ),Miscellaneous,10+ hours,General
Illinois Medical Advancements through Design and Engineering,Computer Science,1-3 hours,Tech
Illinois Men’s Club Basketball,Miscellaneous,5-10 hours,General
Illinois Men’s Lacrosse Club,Miscellaneous,1-3 hours,General
Illinois Men’s Rowing Club,Miscellaneous,10+ hours,General
Illinois Men’s Rugby,Miscellaneous,1-3 hours,General
Illinois Men’s Soccer Club,Miscellaneous,10+ hours,General
Illinois Men’s Volleyball Club,Miscellaneous,10+ hours,General
Illinois MicroTech,Education,10+ hours,General
Illinois Model United Nations,Miscellaneous,1-3 hours,General
Illinois Music Business Club,Media,10+ hours,Media
Illinois National Organization for the Professional Advancement of Black Chemists and Chemical Engineers Student Chapter,Environmental Science,5-10 hours,General
Illinois Open Ultimate Frisbee Team,Miscellaneous,1-3 hours,General
Illinois Personal Wealth Management Club,Business,10+ hours,Professional
Illinois Recreational Baseball League,Miscellaneous,1-3 hours,General
Illinois Restructuring Club,Business,10+ hours,Professional
Illinois Rip Chords,Fine Arts,3-5 hours,Arts
Illinois Robotics in Space,Computer Science,10+ hours,Tech
Illinois Sailing,Miscellaneous,10+ hours,General
Illinois Semiconductor Student Alliance,Computer Science,5-10 hours,Tech
Illinois Shotokan Karate Club,Miscellaneous,5-10 hours,General
Illinois Ski and Snowboard Club,Miscellaneous,1-3 hours,General
Illinois Solar Decathlon,Environmental Science,5-10 hours,General
Illinois Space Society,Computer Science,5-10 hours,Tech
Illinois Spikeball Roundnet Club,Miscellaneous,5-10 hours,General
Illinois Sports Business Conference,Miscellaneous,1-3 hours,General
Illinois Student American Veterinary Medical Association,Veterinary Medicine,5-10 hours,General
Illinois Student Chapter of the American Association of Equine Practitioners,Veterinary Medicine,3-5 hours,General
Illinois Student Chapter of the Wildlife Disease Association,Veterinary Medicine,1-3 hours,General
Illinois Student Chapter of the World Aquatic Veterinary Medical Association,Veterinary Medicine,1-3 hours,General
Illinois Student Council,Miscellaneous,5-10 hours,General
Illinois Student Organization of Meteorology,Education,1-3 hours,General
Illinois Synchronized Skating,Miscellaneous,10+ hours,General
Illinois Trial Team,Law,5-10 hours,General
Illinois Triathlon Club,Miscellaneous,3-5 hours,General
Illinois Undergraduate Moot Court Team,Law,5-10 hours,General
Illinois Underwater Hockey,Miscellaneous,3-5 hours,General
Illinois Women’s Club Basketball,Miscellaneous,5-10 hours,General
Illinois Women’s Fastpitch Softball Club,Miscellaneous,10+ hours,General
Illinois Women’s Lacrosse Club,Miscellaneous,10+ hours,General
Illinois Women’s Rowing Club,Miscellaneous,10+ hours,General
Illinois Women’s Rugby Football Club,Miscellaneous,3-5 hours,General
Illinois Women’s Volleyball Club,Miscellaneous,10+ hours,General
Illio Yearbook,Media,5-10 hours,Media
ImagiNation Dance Crew,Fine Arts,1-3 hours,Arts
Impact Investing Club,Business,3-5 hours,Professional
In Between at UIUC,Miscellaneous,10+ hours,Cultural
Indian Graduate Students Association,Miscellaneous,10+ hours,Cultural
Indian Student Association,Miscellaneous,10+ hours,Service
Indonesian Students Club,Miscellaneous,1-3 hours,Cultural
Infection Prevention and Control Foundation,Miscellaneous,5-10 hours,Science
Inline Insomniacs,Miscellaneous,1-3 hours,General
"Inspiring Minds, Promoting Awareness, Cultivating Talent",Miscellaneous,3-5 hours,General
"Institute for Scientific Progress, Innovation, Research and Edutraining",Education,3-5 hours,General
Institute of Electrical and Electronics Engineers,Computer Science,5-10 hours,Tech
Institute of Industrial and Systems Engineers,Computer Science,5-10 hours,Tech
Institute of Transportation Engineers UIUC Chapter,Information Sciences,1-3 hours,Science
Intellectual Property Legal Society,Law,10+ hours,General
Intercollegiate IllinoiSkating,Miscellaneous,3-5 hours,General
Interdisciplinary Health Educators And Leaders,Miscellaneous,5-10 hours,Service
Interfaith in Action,Miscellaneous,1-3 hours,Service
Interfraternity Council,Miscellaneous,3-5 hours,Service
International Christian Fellowship,Miscellaneous,10+ hours,General
International Consulting Network,Business,10+ hours,Professional
International Genetically Engineered Machine Team at the University of Illinois Urbana-Champaign,Computer Science,5-10 hours,Tech
International Illini,Miscellaneous,5-10 hours,Social
International Students Association,Miscellaneous,3-5 hours,General
International Taekwon-Do Federation Club at Illinois,Miscellaneous,1-3 hours,General
International Water Resources Association,Computer Science,1-3 hours,Tech
InterVarsity Christian Fellowship - Illinois Undergrad Chapter,Miscellaneous,5-10 hours,General
InterVarsity Graduate Christian Fellowship,Miscellaneous,10+ hours,General
Investment Portfolio Organization,Business,1-3 hours,Professional
Iota Phi Lambda,Business,10+ hours,Professional
iPlan,Education,10+ hours,General
Iranian Cultural Association,Miscellaneous,5-10 hours,Cultural
Iranian Heritage Foundation,Miscellaneous,3-5 hours,Service
Irish Illini,Miscellaneous,5-10 hours,Cultural
iRobotics,Computer Science,5-10 hours,Tech
It’s On Us at UIUC,Kinesiology,5-10 hours,Health
Italian Club,Miscellaneous,1-3 hours,Cultural
Jain Student Association,Miscellaneous,1-3 hours,General
Japanese Animation Club,Miscellaneous,5-10 hours,Cultural
Japanese Student Association at UIUC,Miscellaneous,1-3 hours,Cultural
Jasmine Field Orchestra,Miscellaneous,10+ hours,General
JET - Jewish Education Team,Miscellaneous,1-3 hours,General
Jewelry Crafting Community,Miscellaneous,10+ hours,Social
Jewish Law Students Association,Miscellaneous,3-5 hours,General
Journey International Ministry,Miscellaneous,10+ hours,Service
K-Project,Miscellaneous,1-3 hours,Cultural
Kappa Alpha Pi,Law,3-5 hours,General
Kappa Alpha Theta Sorority,Miscellaneous,10+ hours,Service
Kappa Delta Chi,Miscellaneous,1-3 hours,General
Kappa Delta Sorority,Miscellaneous,5-10 hours,Service
Kappa Kappa Gamma,Miscellaneous,1-3 hours,Service
Kappa Kappa Psi,Miscellaneous,10+ hours,General
"Kappa Phi Lambda Sorority, Inc.",Miscellaneous,1-3 hours,Service
"Kappa Pi Beta National Fraternity, Inc.",Miscellaneous,1-3 hours,Service
Kappa Sigma Fraternity,Miscellaneous,10+ hours,Service
Kendo and Naginata club at the University of Illinois Urbana-Champaign,Miscellaneous,1-3 hours,General
Keramos,Computer Science,3-5 hours,Tech
Kick Brass - Brass Band,Fine Arts,10+ hours,Arts
Kinesiology Student Association,Miscellaneous,3-5 hours,General
Kings Assembly Redeemed Christian Church of God,Miscellaneous,10+ hours,General
Knights of Columbus Council number sign 2782,Miscellaneous,5-10 hours,Service
Knowledge Sprout Champaign-Urbana Initiative,Miscellaneous,1-3 hours,General
KOJOBS,Business,10+ hours,Professional
Korean American Student Association,Miscellaneous,1-3 hours,General
Korean Art Architecture Design Association,Media,5-10 hours,Media
Korean Cultural Center,Miscellaneous,10+ hours,Cultural
Korean Guitar Club,Fine Arts,10+ hours,Arts
Korean Illinois Football Association,Miscellaneous,1-3 hours,General
Korean Jesus-Love Church,Miscellaneous,10+ hours,General
Korean Student Association,Miscellaneous,10+ hours,Service
Korean Undergraduate Network,Miscellaneous,10+ hours,Cultural
Korean-American Scientists and Engineers Association,Computer Science,1-3 hours,Tech
La Colectiva,Miscellaneous,5-10 hours,General
La Fuerza Flamenca,Miscellaneous,1-3 hours,Cultural
"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.",Miscellaneous,10+ hours,Service
Labor and Employment Relations Wellness Committee,Kinesiology,1-3 hours,Health
Laboratory Animal Medicine Club,Veterinary Medicine,1-3 hours,General
Lambda Phi Epsilon,Miscellaneous,3-5 hours,Service
"Lambda Theta Alpha Latin Sorority, Incorporated.",Miscellaneous,5-10 hours,Service
"Lambda Theta Phi Latin Fraternity, Inc.",Miscellaneous,1-3 hours,Service
LAS Leaders,Miscellaneous,5-10 hours,General
Latinx in Law,Law,1-3 hours,General
Latinx Law Students Association,Law,5-10 hours,General
Latter-day Saint Student Association at the University of Illinois at Urbana-Champaign,Miscellaneous,10+ hours,General
Law and Medicine at Illinois,Miscellaneous,10+ hours,General
LCMS-U Lutherans at Illinois,Miscellaneous,3-5 hours,General
League of Linguists,Education,3-5 hours,General
LEAN Six Sigma Council,Computer Science,5-10 hours,Tech
Lebanese Student Association,Miscellaneous,1-3 hours,Cultural
Legend Dance Company,Miscellaneous,10+ hours,General
Lego Masters at UIUC,Miscellaneous,1-3 hours,Service
Les Claviers,Fine Arts,5-10 hours,Arts
Letters of Love UIUC,Miscellaneous,1-3 hours,Service
LGBTJew,Miscellaneous,3-5 hours,General
Life Drawing Club,Media,10+ hours,Media
Limitless Achievers,Miscellaneous,3-5 hours,General
LinguaMed,Education,10+ hours,General
Linguistics Student Organization,Miscellaneous,5-10 hours,Service
Liquid Rocketry at Illinois,Computer Science,5-10 hours,Tech
Love plus Flour Baking Club,Miscellaneous,5-10 hours,Social
Luso-Brazilian Association,Miscellaneous,10+ hours,Cultural
Lutheran Student Movement,Miscellaneous,5-10 hours,General
Macro Investing Association,Business,5-10 hours,Professional
Mahjong Club at UIUC,Miscellaneous,5-10 hours,Cultural
Make Your Own World DIY Club in UIUC,Miscellaneous,1-3 hours,Cultural
Maker Network,Environmental Science,3-5 hours,General
makesmewanna art collective,Miscellaneous,5-10 hours,General
Makeup Skincare Club,Miscellaneous,3-5 hours,Social
Malaysian Student Association ( MaSA ),Miscellaneous,3-5 hours,Cultural
MannMukti,Miscellaneous,5-10 hours,General
Mariachi Alma de la Universidad de Illinois,Fine Arts,3-5 hours,Arts
Master of Finance Student Organization,Business,5-10 hours,Professional
Material Advantage,Miscellaneous,1-3 hours,Social
Materials Research Society,Miscellaneous,3-5 hours,Social
Mathematical Advancement Through Research and Idea eXchange,Computer Science,3-5 hours,Tech
MedLaunch,Miscellaneous,5-10 hours,General
MEDLIFE UIUC,Miscellaneous,1-3 hours,Service
Menace Ultimate Frisbee,Miscellaneous,3-5 hours,General
Mentors in Medicine,Kinesiology,3-5 hours,Health
Mexican Student Association,Miscellaneous,10+ hours,Cultural
Mi Pueblo Spanish Conversation Groups,Miscellaneous,1-3 hours,Cultural
Microfishing at Illinois,Miscellaneous,5-10 hours,Social
Mimosa Dance Crew,Miscellaneous,10+ hours,General
"Mind, Body, and Soul",Miscellaneous,1-3 hours,Social
Mindful Movement,Kinesiology,3-5 hours,Health
Minorities in Aerospace,Miscellaneous,3-5 hours,Cultural
"Minorities in Agriculture, Natural Resources and Related Sciences",Agricultural Sciences,5-10 hours,General
Minorities in Animal Sciences,Agricultural Sciences,1-3 hours,General
Minorities in Public Health,Miscellaneous,10+ hours,General
Minorities in STEM,Agricultural Sciences,10+ hours,General
Minority Association for Future Attorneys,Law,3-5 hours,General
Minority Association of Pre-Dental Students,Kinesiology,1-3 hours,Health
Minority Business Students Association,Business,10+ hours,Professional
Mixed Motions UIUC,Business,3-5 hours,Professional
Mixed Student Union,Miscellaneous,3-5 hours,Cultural
Moda Belissima,Media,10+ hours,Media
Mongolian Cultural Organization at the University of Illinois Urbana-Champaign,Miscellaneous,10+ hours,Cultural
Montage Arts Journal,Media,5-10 hours,Media
Mosaic,Miscellaneous,5-10 hours,General
Mu Epsilon Delta,Miscellaneous,5-10 hours,Service
Muay Thai Club at Illinois,Miscellaneous,5-10 hours,General
Music Education Student Association,Education,3-5 hours,General
Music Teachers National Association UIUC Collegiate Chapter,Education,5-10 hours,General
Musical Medics,Kinesiology,10+ hours,Health
Muslim Law Students Association,Miscellaneous,1-3 hours,General
Muslim Students Association,Miscellaneous,5-10 hours,General
Muslim Tech Collaborative UIUC,Business,3-5 hours,Professional
Myra Bradwell Association for Women Law Students,Miscellaneous,10+ hours,General
NAMI on Campus UIUC,Kinesiology,10+ hours,Health
National Agri-Marketing Association at UIUC,Agricultural Sciences,5-10 hours,General
National Arab American Medical Association NextGen at UIUC,Education,3-5 hours,General
National Association for the Advancement of Colored People,Miscellaneous,5-10 hours,General
National Association of Black Accountants,Business,1-3 hours,Professional
National Association of Black Journalists,Miscellaneous,1-3 hours,General
"National Association of Colored Women’s Clubs, Inc.",Miscellaneous,10+ hours,Service
"National Band Association, UIUC Collegiate Chapter",Education,10+ hours,General
National Lawyers Guild,Law,1-3 hours,General
National Organization for Business and Engineering,Business,5-10 hours,Professional
National Society of Black Engineers,Miscellaneous,1-3 hours,Cultural
National Student Speech Language and Hearing Association,Miscellaneous,5-10 hours,Service
Naval Reserve Officers Training Corps,Miscellaneous,3-5 hours,General
Navigators,Miscellaneous,5-10 hours,General
Nepali Student Association,Miscellaneous,10+ hours,General
Neuroscience Student Organization,Kinesiology,3-5 hours,Health
NeuroTech@UIUC,Education,5-10 hours,General
New City Collegiate,Miscellaneous,3-5 hours,General
New Life Korean Church,Miscellaneous,3-5 hours,General
NEXT,Miscellaneous,10+ hours,Social
Next Generation Leaders,Business,10+ hours,Professional
NMDP,Miscellaneous,1-3 hours,Service
No Comment A Cappella,Fine Arts,1-3 hours,Arts
No Strings Attached A Cappella,Fine Arts,5-10 hours,Arts
Noble Print Club,Media,5-10 hours,Media
NRES Graduate Student Association,Miscellaneous,10+ hours,General
Numenor Foam Fighting,Miscellaneous,3-5 hours,General
NutrImpact,Miscellaneous,3-5 hours,Service
Nutrition In Health,Kinesiology,3-5 hours,Health
Nutritional Sciences Graduate Student Association,Biology,10+ hours,Science
October Lovers Club,Miscellaneous,3-5 hours,Service
Odd Request Improv,Fine Arts,1-3 hours,Arts
Off The Record,Fine Arts,5-10 hours,Arts
Off-Road Illini,Computer Science,5-10 hours,Tech
Omega Chi Epsilon - Chemical Engineering Honor Society,Computer Science,1-3 hours,Tech
Omega Delta Fraternity,Miscellaneous,5-10 hours,Service
"Omega Delta Phi Fraternity, Inc.",Miscellaneous,3-5 hours,Social
"Omega Psi Phi Fraternity, Inc.",Miscellaneous,3-5 hours,Social
Omega Tau Sigma,Miscellaneous,3-5 hours,General
Open-Source @ Illinois,Computer Science,5-10 hours,Tech
"Operation Smile, UIUC Chapter",Miscellaneous,3-5 hours,General
Organization for Latines in Audiology and Speech-language Pathology,Kinesiology,5-10 hours,Health
Orthodox Christian Fellowship,Miscellaneous,5-10 hours,General
OTCR Consulting,Business,5-10 hours,Professional
"Out in Science, Technology, Engineering and Mathematics",Miscellaneous,5-10 hours,Cultural
Outdoor Adventure Club,Miscellaneous,5-10 hours,General
Outlaw,Miscellaneous,10+ hours,Cultural
Overseas China Education Foundation at UIUC,Miscellaneous,1-3 hours,General
PaGeKo Biomimetics Club,Computer Science,1-3 hours,Tech
Paint and Pencil,Media,1-3 hours,Media
Pakistani Graduate Students Association,Miscellaneous,10+ hours,Cultural
Pakistani Students Association,Miscellaneous,5-10 hours,Cultural
Palestine Children’s Relief Fund,Miscellaneous,5-10 hours,Service
Panhellenic Council,Miscellaneous,3-5 hours,Service
Partners for Pitties,Miscellaneous,3-5 hours,General
Partners in Health Engage at UIUC,Miscellaneous,3-5 hours,General
Pascal Study Center,Miscellaneous,5-10 hours,General
Penny Dreadful Players,Fine Arts,1-3 hours,Arts
Peruvian Student Association,Miscellaneous,10+ hours,Cultural
Phi Alpha Delta - Pre-Law Undergraduate Chapter,Miscellaneous,10+ hours,Service
"Phi Alpha Delta Law Fraternity, Magruder Chapter ( Illinois Law School )",Law,3-5 hours,General
Phi Alpha Theta,Miscellaneous,1-3 hours,Social
"Phi Beta Sigma Fraternity Inc., Epsilon-Xi Chapter",Business,1-3 hours,Professional
Phi Chi Premedical Society,Miscellaneous,10+ hours,Science
Phi Chi Theta Professional Business Fraternity,Business,3-5 hours,Professional
Phi Delta Epsilon Medical Fraternity,Miscellaneous,10+ hours,Service
Phi Delta Phi - Illini Hall,Miscellaneous,3-5 hours,Service
Phi Delta Theta,Miscellaneous,10+ hours,Service
Phi Eta Sigma National Honor Society,Miscellaneous,1-3 hours,Service
"Phi Gamma Nu, Professional Business Fraternity",Business,3-5 hours,Professional
"Phi Iota Alpha Fraternity, Inc.",Miscellaneous,3-5 hours,General
Phi Kappa Psi,Miscellaneous,1-3 hours,Service
Phi Kappa Sigma,Miscellaneous,3-5 hours,Service
Phi Kappa Tau Fraternity,Miscellaneous,1-3 hours,Social
Phi Kappa Theta Fraternity,Miscellaneous,3-5 hours,Service
Phi Mu Alpha Sinfonia Fraternity,Fine Arts,1-3 hours,Arts
Phi Sigma Kappa,Miscellaneous,3-5 hours,General
Phi Sigma Rho Engineering Sorority,Miscellaneous,10+ hours,Social
Phi Sigma Sigma,Miscellaneous,1-3 hours,Service
Philippine Student Association,Miscellaneous,10+ hours,Cultural
Philosophy Club slash Phi Sigma Tau,Miscellaneous,10+ hours,General
Photon Pictures,Media,5-10 hours,Media
Physicians for Human Rights,Miscellaneous,10+ hours,General
Physics Society slash Society of Physics Students,Biology,10+ hours,Science
Pi Beta Phi Sorority,Miscellaneous,5-10 hours,Service
Pi Kappa Alpha,Miscellaneous,1-3 hours,General
Pi Kappa Phi,Miscellaneous,10+ hours,Service
"Pi Lambda Chi Latina Sorority, Inc.",Miscellaneous,3-5 hours,Service
Pi Rho Omega,Business,5-10 hours,Professional
Pi Tau Sigma,Miscellaneous,3-5 hours,Service
PIRG at Illinois,Miscellaneous,3-5 hours,General
Planned Parenthood Generation Action,Miscellaneous,1-3 hours,General
Plant Futures at University of Illinois Urbana-Champaign,Miscellaneous,1-3 hours,General
Point Four Photography,Media,5-10 hours,Media
Poker Power UIUC,Business,3-5 hours,Professional
Polish Club Zagloba,Miscellaneous,3-5 hours,Cultural
Political Discussion and Debate UIUC,Miscellaneous,3-5 hours,General
Political Science Graduate Student Association,Miscellaneous,5-10 hours,General
Positive Pre-Meds,Kinesiology,5-10 hours,Health
Potted Meat Sketch Comedy,Fine Arts,10+ hours,Arts
Power Engineers,Miscellaneous,1-3 hours,Social
Pre-Dental Club,Kinesiology,1-3 hours,Health
Pre-Genetic Counseling Club,Miscellaneous,5-10 hours,General
Pre-Health Latino Undergraduate Society,Kinesiology,1-3 hours,Health
Pre-Health Psychology Association of UIUC ( PPA ),Kinesiology,1-3 hours,Health
Pre-Law Honors Society: The Order of Prospective Lawyers,Education,5-10 hours,General
Pre-Medical Asian Pacific American Medical Student Association,Kinesiology,10+ hours,Health
Pre-Occupational Therapy Association,Education,5-10 hours,General
Pre-Optometry Club,Kinesiology,3-5 hours,Health
Pre-Pharmacy Club,Kinesiology,1-3 hours,Health
Pre-Physical Therapy Club,Kinesiology,3-5 hours,Health
Pre-Physician Assistant Club,Kinesiology,5-10 hours,Health
Pre-Vet Club,Veterinary Medicine,10+ hours,General
Pregnant Pig Protection Role Play Game,Miscellaneous,10+ hours,Social
Prescription Fitness at UIUC,Miscellaneous,10+ hours,Service
Prime Mergers and Acquisitions,Business,5-10 hours,Professional
Product Space UIUC,Business,10+ hours,Professional
Production Medicine Club,Veterinary Medicine,5-10 hours,General
Project 4 Less,Miscellaneous,3-5 hours,Service
Project Code UIUC,Information Sciences,1-3 hours,Science
Project Taqwa UIUC,Miscellaneous,5-10 hours,General
Prospanica,Business,10+ hours,Professional
PRSSA@ILLINOIS,Business,1-3 hours,Professional
Psi Eta Mu - iSchool Professional Fraternity,Information Sciences,10+ hours,Science
Psi Upsilon Omicron,Miscellaneous,3-5 hours,Service
Psych Bites Undergraduate Psychology Journal,Education,10+ hours,General
Psychology Research and Community Club,Kinesiology,10+ hours,Health
Psychology Survey Club,Education,3-5 hours,General
Public Interest Law Foundation,Law,1-3 hours,General
Public Policy Leaders,Law,5-10 hours,General
Puerto Rican Student Association,Miscellaneous,10+ hours,General
Pulse,Computer Science,10+ hours,Tech
Quant,Computer Science,1-3 hours,Tech
Queer Book Club,Miscellaneous,1-3 hours,Cultural
Queer Library Alliance,Miscellaneous,5-10 hours,Cultural
Queer Wellness at Illinois,Miscellaneous,5-10 hours,Service
Raas Mania,Miscellaneous,1-3 hours,Cultural
Re: verie,Miscellaneous,10+ hours,General
REACH,Business,3-5 hours,Professional
Reaching Across Classes,Miscellaneous,10+ hours,General
Real Estate Law Society,Law,5-10 hours,General
Recreational Volleyball,Miscellaneous,1-3 hours,General
Red Bison Ecological Restoration,Miscellaneous,10+ hours,General
Red Crescent Moon,Miscellaneous,5-10 hours,Service
Reformed University Fellowship,Miscellaneous,1-3 hours,General
Remote Area Medical Chapter at UIUC,Miscellaneous,5-10 hours,General
Retrieval Augmented Generation @ UIUC,Computer Science,1-3 hours,Tech
Retrocomputing and Hardware at Illinois,Miscellaneous,10+ hours,Social
"Rho Epsilon, Student Real Estate Association",Business,1-3 hours,Professional
RISE,Miscellaneous,3-5 hours,General
Robobrawl,Computer Science,1-3 hours,Tech
Root to Roof,Miscellaneous,3-5 hours,Service
Roselle,Miscellaneous,1-3 hours,Cultural
Rube Goldberg Society,Media,3-5 hours,Media
Rural Area Student Initiative,Miscellaneous,1-3 hours,General
Russian Speaking Organization,Miscellaneous,5-10 hours,Cultural
Salaam Middle East and North Africa ( MENA ) Cultural Center,Miscellaneous,5-10 hours,Cultural
Saudi Students Association,Miscellaneous,5-10 hours,Cultural
Save the Children Action Network at University of Illinois at Urbana Champaign,Miscellaneous,1-3 hours,General
Scandinavian Club,Miscellaneous,5-10 hours,Cultural
Science Policy Group,Miscellaneous,1-3 hours,General
Secular Student Alliance,Miscellaneous,10+ hours,General
Security Studies Group,Miscellaneous,1-3 hours,General
Serbian Student Association,Miscellaneous,10+ hours,Cultural
SGI Buddhists for World Peace,Miscellaneous,3-5 hours,General
Sharing Smiles with Hospice Patients,Miscellaneous,1-3 hours,General
She’s the First UIUC,Miscellaneous,5-10 hours,General
Sibshops UIUC,Miscellaneous,5-10 hours,General
Sigma Alpha Epsilon Fraternity,Miscellaneous,3-5 hours,Social
Sigma Alpha Iota International Music Fraternity for Women,Fine Arts,1-3 hours,Arts
Sigma Alpha Professional Agricultural Sorority,Agricultural Sciences,3-5 hours,General
"Sigma Beta Rho Fraternity, Inc.",Miscellaneous,3-5 hours,Service
Sigma Chi Fraternity,Miscellaneous,5-10 hours,Service
Sigma Delta Tau,Miscellaneous,5-10 hours,Social
"Sigma Gamma Rho Sorority, Inc.",Miscellaneous,1-3 hours,Service
Sigma Lambda Beta International Fraternity Inc.-Kappa Chapter,Miscellaneous,3-5 hours,General
Sigma Lambda Gamma National Sorority Inc. Delta Chapter,Miscellaneous,1-3 hours,General
Sigma Nu Fraternity,Miscellaneous,1-3 hours,Social
Sigma Phi Delta Fraternity,Miscellaneous,10+ hours,Social
Sigma Phi Epsilon,Miscellaneous,5-10 hours,Social
"Sigma Psi Zeta Sorority, Inc.",Miscellaneous,3-5 hours,Service
Sikh Student Association,Miscellaneous,5-10 hours,General
Singapore Students Association,Miscellaneous,10+ hours,Social
Sino U.S. Trade Research Group,Business,10+ hours,Professional
SKATE for Girls,Miscellaneous,3-5 hours,General
Skateboarding Illini,Miscellaneous,3-5 hours,General
Skeumorphics,Media,1-3 hours,Media
SKY Meditation at UIUC,Miscellaneous,1-3 hours,Service
Social Gaming Club,Miscellaneous,10+ hours,General
Social Justice Initiative,Miscellaneous,3-5 hours,General
Society for Business Management in Architecture,Business,1-3 hours,Professional
Society for Ecological Restoration at the University of Illinois,Miscellaneous,5-10 hours,Service
Society for Engineering Mechanics,Biology,1-3 hours,Science
Society for Equity in Astronomy,Miscellaneous,10+ hours,General
Society for Industrial and Applied Mathematics,Education,1-3 hours,General
Society for the Advancement of Chicanos and Native Americans in Science - UIUC Chapter,Miscellaneous,3-5 hours,Cultural
Society for the Promotion of Indian Classical Music and Culture Amongst Youth,Miscellaneous,10+ hours,Cultural
Society for Underrepresented Physics Students,Miscellaneous,10+ hours,General
Society for Women in Physics,Biology,1-3 hours,Science
Society of Asian Scientists and Engineers,Miscellaneous,10+ hours,General
Society of Hispanic Professional Engineers,Computer Science,5-10 hours,Tech
Society of Minority Students in History,Miscellaneous,10+ hours,General
Society of Professional Journalists,Media,10+ hours,Media
Society of Women Engineers,Computer Science,10+ hours,Tech
Society of Women in Business,Business,1-3 hours,Professional
Society of Women In Public Affairs,Business,10+ hours,Professional
Sociology Student Organization ( SSO ),Miscellaneous,10+ hours,Social
SoSudsy Soap Club,Business,1-3 hours,Professional
South Asian Law Students Association,Miscellaneous,3-5 hours,Cultural
Space Law Society,Law,10+ hours,General
Spanish and Portuguese Graduate Organization,Education,5-10 hours,General
Speak Your Migraine,Miscellaneous,3-5 hours,General
Special Olympics Unified Sports UIUC,Miscellaneous,1-3 hours,General
Special Populations’ Student Health Concerns Committee,Miscellaneous,3-5 hours,Service
Special Warfare Club,Miscellaneous,10+ hours,General
Spicy Clamato Improv,Fine Arts,10+ hours,Arts
Sports and Entertainment Law Society,Law,10+ hours,General
